date,regime_score,label,spy_close,spy_vs_21ema,spy_vs_50ema,spy_vs_200ema,vix,breadth_pct_20d
2026-06-10,39,DEFENSIVE,725.43,-2.04,0.17,6.1,22.22,50.0
2026-06-11,50,SELECTIVE,737.76,-0.34,1.8,7.79,19.44,50.0
2026-06-12,58,SELECTIVE,741.75,0.18,2.25,8.37,17.68,50.0
2026-06-14,58,SELECTIVE,741.75,0.18,2.25,8.37,17.68,50.0
2026-06-15,58,SELECTIVE,754.83,1.76,3.89,10.1,16.2,50.0
2026-06-16,58,SELECTIVE,750.33,1.05,3.14,9.4,16.41,50.0
2026-06-17,50,SELECTIVE,740.96,-0.19,1.78,7.95,18.44,50.0
2026-06-18,58,SELECTIVE,746.74,0.53,2.47,8.72,16.4,50.0
2026-06-19,58,SELECTIVE,746.74,0.77,2.72,8.99,16.78,50.0
2026-06-21,58,SELECTIVE,746.74,0.77,2.72,8.99,16.4,50.0
2026-06-22,64,SELECTIVE,744.39,0.41,2.3,8.48,17.28,50.0
2026-06-23,50,SELECTIVE,733.58,-0.95,0.78,6.75,19.49,50.0
2026-06-24,50,SELECTIVE,733.24,-0.91,0.71,6.63,18.63,50.0
2026-06-25,56,SELECTIVE,734.3,-0.7,0.82,6.65,18.89,50.0
2026-06-26,50,SELECTIVE,728.99,-1.29,0.09,5.78,18.41,50.0
2026-06-28,50,SELECTIVE,728.99,-1.29,0.09,5.78,18.41,50.0
2026-06-29,64,SELECTIVE,741.0,0.31,1.67,7.4,17.65,50.0
2026-06-30,58,SELECTIVE,746.77,0.99,2.36,8.15,16.45,50.0
2026-07-01,58,SELECTIVE,745.76,0.77,2.13,7.89,16.59,50.0
2026-07-02,64,SELECTIVE,744.78,0.58,1.92,7.6,16.15,50.0
2026-07-03,64,SELECTIVE,744.78,0.58,1.92,7.6,15.81,50.0
2026-07-05,64,SELECTIVE,744.78,0.58,1.92,7.6,16.15,50.0
2026-07-06,64,SELECTIVE,751.28,1.33,2.69,8.51,15.57,50.0
2026-07-07,64,SELECTIVE,747.71,0.77,2.12,7.91,16.13,50.0
2026-07-08,64,SELECTIVE,745.4,0.41,1.73,7.45,16.9,50.0
2026-07-09,64,SELECTIVE,751.71,1.15,2.49,8.25,15.84,50.0
2026-07-10,64,SELECTIVE,754.95,1.44,2.81,8.65,15.03,50.0
2026-07-12,64,SELECTIVE,754.95,1.44,2.81,8.65,15.03,50.0
2026-07-13,64,SELECTIVE,749.17,0.6,1.94,7.72,17.16,50.0
2026-07-14,64,SELECTIVE,751.83,0.87,2.21,8.04,16.5,50.0
2026-07-15,64,SELECTIVE,754.81,1.15,2.51,8.36,15.67,50.0
2026-07-16,64,SELECTIVE,750.72,0.55,1.88,7.64,16.73,50.0
2026-07-17,50,SELECTIVE,743.29,-0.41,0.84,6.51,18.77,50.0
2026-07-19,50,SELECTIVE,743.29,-0.41,0.84,6.51,18.77,50.0
2026-07-20,50,SELECTIVE,742.09,-0.51,0.65,6.25,18.65,50.0
2026-07-21,64,SELECTIVE,748.28,0.29,1.43,7.06,17.05,50.0
2026-07-22,64,SELECTIVE,747.41,0.15,1.26,6.8,16.64,50.0
2026-07-23,50,SELECTIVE,738.18,-0.99,0.01,5.42,18.7,50.0
2026-07-24,50,SELECTIVE,738.93,-0.8,0.1,5.44,18.58,50.0
2026-07-26,50,SELECTIVE,738.93,-0.8,0.1,5.44,18.58,50.0
2026-07-27,50,SELECTIVE,739.09,-0.71,0.12,5.41,18.67,50.0
2026-07-28,50,SELECTIVE,740.86,-0.43,0.35,5.62,18.21,50.0
2026-07-29,32,DEFENSIVE,729.46,-1.79,-1.15,3.96,20.66,50.0
2026-07-30,50,SELECTIVE,741.69,-0.13,0.49,5.67,17.09,50.0
2026-07-31,64,SELECTIVE,747.03,0.54,1.16,6.49,15.99,50.0
2026-08-02,64,SELECTIVE,747.03,0.54,1.16,6.49,15.99,50.0
2026-08-03,64,SELECTIVE,757.67,1.79,2.5,7.81,15.86,50.0
2026-08-04,72,SELECTIVE,771.33,3.28,4.17,9.68,16.5,50.0
2026-08-05,64,SELECTIVE,769.79,2.79,3.8,9.3,15.81,50.0
2026-08-07,72,SELECTIVE,768.56,2.38,3.49,9.03,15.15,50.0
2026-08-07,76,SELECTIVE,773.26,2.72,3.95,9.53,14.9,50.0
2026-08-09,76,SELECTIVE,773.26,2.72,3.95,9.53,14.9,50.0
2026-08-11,72,SELECTIVE,770.56,1.92,3.29,8.88,15.28,50.0
2026-08-12,76,SELECTIVE,772.49,1.97,3.4,9.03,14.55,50.0
2026-08-14,76,SELECTIVE,776.34,2.03,3.6,9.38,14.25,50.0
2026-08-16,76,SELECTIVE,776.34,2.03,3.6,9.38,14.25,50.0
2026-08-17,64,SELECTIVE,772.67,1.4,2.98,8.77,15.19,50.0
2026-08-18,58,SELECTIVE,767.45,0.65,2.2,7.99,15.84,50.0
2026-08-19,62,SELECTIVE,769.06,0.78,2.31,8.15,14.89,50.0
2026-08-20,50,SELECTIVE,762.6,-0.06,1.4,7.19,16.01,50.0
